date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:05:42	117/117	---MCZ	200	added ('OK')	text/plain	date:Wed,%2015%20May%202024%2014:34:53%20GMT	https://roexec.com/robots.txt		(from )
19:05:42	76977/76977	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2008:58:38%20GMT	https://roexec.com/	C:/Mes%20Sites%20Web/caca/roexec.com/index.html	(from )
19:05:42	113381/113381	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Apr%202024%2001:33:46%20GMT	https://roexec.com/wp-includes/css/dist/block-library/style.min.css?ver=6.5.3	C:/Mes%20Sites%20Web/caca/roexec.com/wp-includes/css/dist/block-library/style.minef10.css	(from https://roexec.com/)
19:05:42	11256/11256	---MCZ	200	added ('OK')	text/css	date:Wed,%2030%20Sep%202020%2001:23:06%20GMT	https://roexec.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/Mes%20Sites%20Web/caca/roexec.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://roexec.com/)
19:05:42	4186/4186	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Jun%202019%2006:15:02%20GMT	https://roexec.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.5.3	C:/Mes%20Sites%20Web/caca/roexec.com/wp-includes/js/mediaelement/wp-mediaelement.minef10.css	(from https://roexec.com/)
19:05:43	1061/1061	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Feb%202024%2013:54:59%20GMT	https://roexec.com/wp-content/plugins/turn-rank-math-faq-block-to-accordion/assets/css/style.min.css?ver=1.1.0	C:/Mes%20Sites%20Web/caca/roexec.com/wp-content/plugins/turn-rank-math-faq-block-to-accordion/assets/css/style.minf488.css	(from https://roexec.com/)
19:05:43	3356/3356	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Feb%202024%2013:34:14%20GMT	https://roexec.com/wp-content/themes/generatepress/assets/css/components/widget-areas.min.css?ver=3.4.0	C:/Mes%20Sites%20Web/caca/roexec.com/wp-content/themes/generatepress/assets/css/components/widget-areas.min6b00.css	(from https://roexec.com/)
19:05:44	19564/19564	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Feb%202024%2013:34:14%20GMT	https://roexec.com/wp-content/themes/generatepress/assets/css/main.min.css?ver=3.4.0	C:/Mes%20Sites%20Web/caca/roexec.com/wp-content/themes/generatepress/assets/css/main.min6b00.css	(from https://roexec.com/)
19:05:44	3588/3588	---MCZ	200	added ('OK')	text/css	date:Mon,%2029%20Apr%202024%2012:13:16%20GMT	https://roexec.com/wp-content/uploads/generateblocks/style-11.css?ver=1714392796	C:/Mes%20Sites%20Web/caca/roexec.com/wp-content/uploads/generateblocks/style-113dd4.css	(from https://roexec.com/)
19:05:44	87553/87553	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Aug%202023%2002:44:24%20GMT	https://roexec.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Mes%20Sites%20Web/caca/roexec.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://roexec.com/)
19:05:44	13577/13577	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2015:19:24%20GMT	https://roexec.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Mes%20Sites%20Web/caca/roexec.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://roexec.com/)
19:05:44	51537/51537	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2029%20Apr%202024%2012:13:17%20GMT	https://roexec.com/feed/	C:/Mes%20Sites%20Web/caca/roexec.com/feed/index.html	(from https://roexec.com/)
19:05:45	826/826	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2029%20Apr%202024%2012:13:17%20GMT	https://roexec.com/comments/feed/	C:/Mes%20Sites%20Web/caca/roexec.com/comments/feed/index.html	(from https://roexec.com/)
19:05:45	28237/28237	---MCZ	200	added ('OK')	application/json	date:Wed,%2015%20May%202024%2017:05:45%20GMT	https://roexec.com/wp-json/wp/v2/pages/11	C:/Mes%20Sites%20Web/caca/roexec.com/wp-json/wp/v2/pages/11.json	(from https://roexec.com/)
19:05:45	774/774	---MCZ	200	added ('OK')	text/xml	date:Wed,%2015%20May%202024%2017:05:46%20GMT	https://roexec.com/xmlrpc.php?rsd	C:/Mes%20Sites%20Web/caca/roexec.com/xmlrpc0db0.php	(from https://roexec.com/)
